"Dhat","inCI","Layout","GType"
10.8423397605145,FALSE,"transect","Emperical"
15.4714774830558,TRUE,"structured","HalfNorm"
11.9017063597954,TRUE,"random","HalfNorm"
16.0499890812059,TRUE,"transect","HalfNorm"
13.7891356334022,TRUE,"structured","Emperical"
11.6998674632778,TRUE,"random","Emperical"
13.1543094581462,TRUE,"transect","Emperical"
10.9589204502667,TRUE,"structured","HalfNorm"
18.7897540919838,TRUE,"random","HalfNorm"
15.2678515703361,TRUE,"transect","HalfNorm"
12.9844160574487,TRUE,"structured","Emperical"
15.8831893850369,TRUE,"random","Emperical"
14.3964766371842,TRUE,"transect","Emperical"
15.8004736195994,TRUE,"structured","HalfNorm"
15.9619729809018,TRUE,"random","HalfNorm"
30.4606062553699,FALSE,"transect","HalfNorm"
10.4775228065,FALSE,"structured","Emperical"
13.730628690458,TRUE,"random","Emperical"
20.4790444407958,TRUE,"transect","Emperical"
11.663610567433,FALSE,"structured","HalfNorm"
18.1443538713515,TRUE,"random","HalfNorm"
13.1757208665728,TRUE,"transect","HalfNorm"
9.06524225476615,FALSE,"structured","Emperical"
15.6309837172465,TRUE,"random","Emperical"
5.66904211305599,FALSE,"transect","Emperical"
14.543202080912,TRUE,"structured","HalfNorm"
19.9861938653832,TRUE,"random","HalfNorm"
19.9400272088178,TRUE,"transect","HalfNorm"
13.0637777795201,TRUE,"structured","Emperical"
16.3705815339026,TRUE,"random","Emperical"
15.5901857045578,TRUE,"transect","Emperical"
20.1638943577272,TRUE,"structured","HalfNorm"
19.4198445953048,TRUE,"random","HalfNorm"
7.22712446395551,FALSE,"transect","HalfNorm"
16.3327492711037,TRUE,"structured","Emperical"
14.5166697379036,TRUE,"random","Emperical"
7.86322409217336,FALSE,"transect","Emperical"
25.4187709695886,TRUE,"structured","HalfNorm"
18.4459151173983,TRUE,"random","HalfNorm"
20.9762098977153,TRUE,"transect","HalfNorm"
16.7303505682296,TRUE,"structured","Emperical"
14.5700496345888,TRUE,"random","Emperical"
17.6630672302752,TRUE,"transect","Emperical"
21.147715285353,TRUE,"structured","HalfNorm"
18.096316848776,TRUE,"random","HalfNorm"
14.4340184442518,TRUE,"transect","HalfNorm"
18.7681515588213,TRUE,"structured","Emperical"
14.1550904209471,TRUE,"random","Emperical"
14.4929397461709,TRUE,"transect","Emperical"
24.8074048384344,TRUE,"structured","HalfNorm"
22.1340022106449,TRUE,"random","HalfNorm"
14.4354086244248,TRUE,"transect","HalfNorm"
17.8613223345577,TRUE,"structured","Emperical"
20.0171675327262,TRUE,"random","Emperical"
11.828371887022,FALSE,"transect","Emperical"
12.959451527765,TRUE,"structured","HalfNorm"
19.5010513747183,TRUE,"random","HalfNorm"
22.1641353311506,TRUE,"transect","HalfNorm"
12.5671383259978,TRUE,"structured","Emperical"
14.5024084885202,TRUE,"random","Emperical"
17.5065822143919,TRUE,"transect","Emperical"
23.1714004821922,TRUE,"structured","HalfNorm"
19.8181953173403,TRUE,"random","HalfNorm"
18.1906260495178,TRUE,"transect","HalfNorm"
15.0935960250715,TRUE,"structured","Emperical"
12.1879749622003,TRUE,"random","Emperical"
11.1225133617997,FALSE,"transect","Emperical"
13.2446629927531,TRUE,"structured","HalfNorm"
16.8406790977499,TRUE,"random","HalfNorm"
25.4963005779137,TRUE,"transect","HalfNorm"
11.0751586565935,FALSE,"structured","Emperical"
15.4105459732262,TRUE,"random","Emperical"
14.1799764392455,TRUE,"transect","Emperical"
14.7095808079855,TRUE,"structured","HalfNorm"
15.5875918292197,TRUE,"random","HalfNorm"
16.7083594685075,TRUE,"transect","HalfNorm"
14.5950222113359,TRUE,"structured","Emperical"
13.5265571117887,TRUE,"random","Emperical"
13.6355067787395,TRUE,"transect","Emperical"
16.2974521425039,TRUE,"structured","HalfNorm"
20.6426486987367,TRUE,"random","HalfNorm"
21.2418195421869,TRUE,"transect","HalfNorm"
13.9248396450992,TRUE,"structured","Emperical"
19.8439074153124,TRUE,"random","Emperical"
17.8019357925326,TRUE,"transect","Emperical"
16.232439316558,TRUE,"structured","HalfNorm"
18.6851895272406,TRUE,"random","HalfNorm"
17.5358667896935,TRUE,"transect","HalfNorm"
16.2382197147619,TRUE,"structured","Emperical"
19.4695786495928,TRUE,"random","Emperical"
11.8916897307104,FALSE,"transect","Emperical"
19.2367077449384,TRUE,"structured","HalfNorm"
10.587924263214,FALSE,"random","HalfNorm"
15.3242051418302,TRUE,"transect","HalfNorm"
18.5999968725583,TRUE,"structured","Emperical"
9.51265129610897,FALSE,"random","Emperical"
13.6755352104836,TRUE,"transect","Emperical"
11.4573365589433,FALSE,"structured","HalfNorm"
21.1486891073154,TRUE,"random","HalfNorm"
16.0572649882962,TRUE,"transect","HalfNorm"
9.83484910353413,FALSE,"structured","Emperical"
14.2918182253055,TRUE,"random","Emperical"
12.5419452208886,TRUE,"transect","Emperical"
21.7170916384901,TRUE,"structured","HalfNorm"
14.0901322302064,TRUE,"random","HalfNorm"
22.1809891044895,TRUE,"transect","HalfNorm"
14.5584149349109,TRUE,"structured","Emperical"
9.64923639839898,FALSE,"random","Emperical"
19.8939943744777,TRUE,"transect","Emperical"
18.1073812411683,TRUE,"structured","HalfNorm"
16.0821127914181,TRUE,"random","HalfNorm"
16.4638696270232,TRUE,"transect","HalfNorm"
13.9113627872905,TRUE,"structured","Emperical"
10.3911468191393,FALSE,"random","Emperical"
12.7392137349191,TRUE,"transect","Emperical"
19.7764230781613,TRUE,"structured","HalfNorm"
