Dhat,inCI,Layout,GType
10.21491296,FALSE,transect,Empirical
25.53965385,TRUE,structured,HalfNorm
22.22547308,TRUE,random,HalfNorm
19.9174974,TRUE,transect,HalfNorm
16.85627062,TRUE,structured,Empirical
11.83603138,FALSE,random,Empirical
14.60454,TRUE,transect,Empirical
23.39029095,TRUE,structured,HalfNorm
16.00137071,TRUE,random,HalfNorm
18.73089449,TRUE,transect,HalfNorm
16.19268069,TRUE,structured,Empirical
10.55788885,FALSE,random,Empirical
15.95176118,TRUE,transect,Empirical
10.83862081,FALSE,structured,HalfNorm
18.1452263,TRUE,random,HalfNorm
11.82400306,TRUE,transect,HalfNorm
10.96898263,FALSE,structured,Empirical
22.33188067,TRUE,random,Empirical
11.42444043,FALSE,transect,Empirical
25.1640757,TRUE,structured,HalfNorm
11.19465104,TRUE,random,HalfNorm
24.68127103,TRUE,transect,HalfNorm
16.14432383,TRUE,structured,Empirical
9.814007081,FALSE,random,Empirical
19.35263006,TRUE,transect,Empirical
20.1671088,TRUE,structured,HalfNorm
23.19404493,TRUE,random,HalfNorm
17.91836012,TRUE,transect,HalfNorm
14.3192769,TRUE,structured,Empirical
16.90242328,TRUE,random,Empirical
13.4628621,TRUE,transect,Empirical
9.097396856,FALSE,structured,HalfNorm
16.70259353,TRUE,random,HalfNorm
12.05538291,TRUE,transect,HalfNorm
6.737767573,FALSE,structured,Empirical
16.45233842,TRUE,random,Empirical
8.364970577,FALSE,transect,Empirical
20.33919104,TRUE,structured,HalfNorm
20.68214884,TRUE,random,HalfNorm
25.35867084,TRUE,transect,HalfNorm
16.98935922,TRUE,structured,Empirical
17.37190661,TRUE,random,Empirical
20.23772903,TRUE,transect,Empirical
13.45176008,TRUE,structured,HalfNorm
18.26399975,TRUE,random,HalfNorm
21.05917674,TRUE,transect,HalfNorm
14.37935176,TRUE,structured,Empirical
12.57147175,FALSE,random,Empirical
15.86598411,TRUE,transect,Empirical
23.88193894,TRUE,structured,HalfNorm
16.3525359,TRUE,random,HalfNorm
29.47408031,FALSE,transect,HalfNorm
19.11290979,TRUE,structured,Empirical
11.18830603,FALSE,random,Empirical
25.67757293,TRUE,transect,Empirical
15.73442945,TRUE,structured,HalfNorm
15.05938586,TRUE,random,HalfNorm
18.23035755,TRUE,transect,HalfNorm
11.41925906,FALSE,structured,Empirical
11.99498398,TRUE,random,Empirical
12.52560858,TRUE,transect,Empirical
18.76137019,TRUE,structured,HalfNorm
18.39980257,TRUE,random,HalfNorm
12.88625877,TRUE,transect,HalfNorm
14.78796858,TRUE,structured,Empirical
14.20723404,TRUE,random,Empirical
10.72525445,FALSE,transect,Empirical
20.15870586,TRUE,structured,HalfNorm
29.02809748,TRUE,random,HalfNorm
23.24222206,TRUE,transect,HalfNorm
16.68424496,TRUE,structured,Empirical
18.25259852,TRUE,random,Empirical
17.54076676,TRUE,transect,Empirical
20.07112316,TRUE,structured,HalfNorm
12.66919527,TRUE,random,HalfNorm
15.25803201,TRUE,transect,HalfNorm
15.03153257,TRUE,structured,Empirical
12.05194643,TRUE,random,Empirical
11.04075916,FALSE,transect,Empirical
25.03345015,TRUE,structured,HalfNorm
18.75773573,TRUE,random,HalfNorm
17.44897525,TRUE,transect,HalfNorm
20.85207837,TRUE,structured,Empirical
19.28606242,TRUE,random,Empirical
16.43537713,TRUE,transect,Empirical
16.6514095,TRUE,structured,HalfNorm
11.75074998,TRUE,random,HalfNorm
19.33757612,TRUE,transect,HalfNorm
12.83764371,TRUE,structured,Empirical
13.18197086,TRUE,random,Empirical
16.8332739,TRUE,transect,Empirical
22.87906906,TRUE,structured,HalfNorm
27.95718126,TRUE,random,HalfNorm
17.32945343,TRUE,transect,HalfNorm
20.19081759,TRUE,structured,Empirical
20.4333125,TRUE,random,Empirical
12.87428813,TRUE,transect,Empirical
19.07049071,TRUE,structured,HalfNorm
18.05666862,TRUE,random,HalfNorm
21.31943755,TRUE,transect,HalfNorm
16.33895978,TRUE,structured,Empirical
16.08395361,TRUE,random,Empirical
17.74527409,TRUE,transect,Empirical
14.606682,TRUE,structured,HalfNorm
20.54007612,TRUE,random,HalfNorm
24.39491993,TRUE,transect,HalfNorm
13.91556514,TRUE,structured,Empirical
14.77512501,TRUE,random,Empirical
13.95486584,TRUE,transect,Empirical
16.66728613,TRUE,structured,HalfNorm
14.17963559,TRUE,random,HalfNorm
20.60146623,TRUE,transect,HalfNorm
15.53642839,TRUE,structured,Empirical
13.80951367,TRUE,random,Empirical
11.84257898,TRUE,transect,Empirical
27.80661,TRUE,structured,HalfNorm
16.75085222,TRUE,random,HalfNorm
25.08572643,TRUE,transect,HalfNorm
18.97962492,TRUE,structured,Empirical
15.17026351,TRUE,random,Empirical
23.27158559,TRUE,transect,Empirical
13.43815005,TRUE,structured,HalfNorm
