"D.hnorm.S","D.hnorm.R","D.hnorm.T","D.emp.S","D.emp.R","D.emp.T"
18.5326154423245,31.1139544365467,17.0160804533312,13.6265781320146,27.0003391492263,14.3378119146865
24.0193400543356,9.74788850592415,15.9732055928135,14.9951525606137,13.8970455185412,13.9892685004504
13.5259459792558,24.7794436261851,18.6934850509377,14.888500154203,14.3136919881311,13.1536568854862
22.8476897444198,18.9134276639587,14.189688731676,13.9370752728893,16.4062476310853,12.9478007762765
15.379496811283,14.6908210114139,17.7398012992385,14.208381081465,14.3692114117142,19.1626691796671
15.3667480751377,23.7561663138192,19.7143391978258,7.86651366160307,17.6922634895489,12.3178909263888
23.0647664500181,24.3875925805702,19.2361473984514,24.2691173096255,21.5904995475131,15.4216813614508
24.2749356176629,26.5183001541501,20.202957024421,18.8194096616046,19.0697849784485,16.5628925840889
16.8123237457434,13.4234572818647,12.5842392002424,15.4990663877053,14.665723836564,11.3061255653928
21.155634167583,20.1317052302896,24.2430587720326,12.5099617259937,15.8651198722648,21.3037117144785
16.2598065788381,8.35359906554804,14.3956774691435,14.5333348232583,9.02918016009893,9.35469085624959
24.1099266394506,17.1649331672739,19.4546731050753,13.6409930271223,13.329019753419,14.2452612608944
19.5829654783868,16.4333497692396,19.5999579166748,17.0519957550926,12.9948561828717,13.9155922425707
21.0557501273608,19.9144676326415,23.1629322529574,17.5566038083713,13.0651645825841,15.0222004064674
20.8759726784861,16.2408511874268,25.8490286649707,15.2995316091733,13.2450455578755,15.2417150094858
14.6725193444962,23.3015343870361,13.5079367351823,11.9198533271207,16.8807465999176,15.1784178685022
18.7509289185279,13.9590717232016,10.4742140707994,17.2169602270131,12.9325171436241,7.73214707595057
20.3929029828554,16.2638401691263,14.8265992998823,12.8557053189214,18.9851641754766,11.2879044537649
17.4023693946892,17.7343882996407,21.5364935823168,14.3064196408978,11.3857964482454,18.7039548590042
14.5186048227175,32.0822540101799,16.6911942557924,10.6567361974799,21.5224148223849,12.6752280766328
16.3723132952173,15.5523384457253,19.117172854103,14.1172343578345,18.2594555431351,14.8252547284183
20.0382666431333,17.4926801192807,16.9796750164464,16.4927007795832,14.8360792767318,15.0880091670812
23.8591592576135,18.3192949381492,18.1703630679629,13.365326924504,13.316872366803,13.1380384196421
16.1275758545342,17.0837275161147,16.621106448298,14.9513216836182,11.526923802943,16.6025825103281
23.8840510463435,13.5473453459686,19.7473896203382,20.5875880644092,12.2741953844328,17.5253555562681
22.9676414528417,22.7721317154854,15.3993993462939,17.1920614450158,17.8520816810238,11.3109912046149
15.1167102996272,16.2875583154641,20.6886899735794,15.0722005085685,14.7111152769747,16.611819541211
20.8591301044906,18.7235639171654,18.4532699903699,17.0701997696989,14.4161833251996,13.7093324301941
24.3932084853879,19.6844349152541,21.5506791708133,21.2247850641657,10.2727007601233,17.0623934547678
14.1353985567057,23.7480425805622,23.5965520455362,13.4701295858977,16.6117191105861,17.4775675943743
14.6922622291946,21.5370900531676,13.4101028455372,11.7366359737478,16.4530359518841,13.9902146256319
19.4729037390114,16.6869877712629,24.538374740491,15.5742915356879,14.4452369268222,21.576316650282
16.0161239214257,16.9569389693241,18.4135794733926,14.0977437905522,14.622592169661,17.3466202893502
27.5973538718941,19.308436207713,17.3387120538159,17.7719089605089,14.7634872236981,15.8655682469616
20.2690711229603,17.3534781055758,12.93032361645,15.5593248608222,13.0647081038244,10.8475615098676
