"Dhat","inCI","Layout","MoveType"
16.1280399597055,TRUE,"structured","NoMove"
12.8306697505158,TRUE,"random","NoMove"
21.4276144462621,TRUE,"transect","NoMove"
10.9025595405039,TRUE,"structured","TempMove"
8.54637611320428,FALSE,"random","TempMove"
14.5889763075379,TRUE,"transect","TempMove"
10.4348417512443,TRUE,"structured","PermMove"
9.64439501855782,FALSE,"random","PermMove"
13.2735388707832,TRUE,"transect","PermMove"
14.9401575339999,TRUE,"structured","NoMove"
17.4870206660089,TRUE,"random","NoMove"
10.711402657688,TRUE,"transect","NoMove"
9.52033840875317,FALSE,"structured","TempMove"
7.94326607984183,FALSE,"random","TempMove"
7.76472997698372,FALSE,"transect","TempMove"
9.51291601653804,FALSE,"structured","PermMove"
9.42545969477319,FALSE,"random","PermMove"
8.18387193435487,FALSE,"transect","PermMove"
30.1954352566768,FALSE,"structured","NoMove"
18.0566058365557,TRUE,"random","NoMove"
6.62263265479536,FALSE,"transect","NoMove"
20.2172031171787,TRUE,"structured","TempMove"
15.0178579164661,TRUE,"random","TempMove"
5.93781984695657,FALSE,"transect","TempMove"
21.3881341568074,TRUE,"structured","PermMove"
9.08707254405201,FALSE,"random","PermMove"
4.15458047913315,FALSE,"transect","PermMove"
14.2797972913452,TRUE,"structured","NoMove"
15.0682419453814,TRUE,"random","NoMove"
17.8237412633029,TRUE,"transect","NoMove"
5.5701282084897,FALSE,"structured","TempMove"
6.08791836619652,FALSE,"random","TempMove"
12.1573519613001,TRUE,"transect","TempMove"
7.59433241321894,FALSE,"structured","PermMove"
11.0405371066586,FALSE,"random","PermMove"
13.4098033019856,TRUE,"transect","PermMove"
10.2883434953742,FALSE,"structured","NoMove"
17.7361557449892,TRUE,"random","NoMove"
12.2850936730946,TRUE,"transect","NoMove"
8.03898687285619,FALSE,"structured","TempMove"
8.45037519092426,FALSE,"random","TempMove"
8.99153453025279,FALSE,"transect","TempMove"
8.31867583863252,FALSE,"structured","PermMove"
12.0932440119278,TRUE,"random","PermMove"
8.53023467894289,FALSE,"transect","PermMove"
15.9106234213919,TRUE,"structured","NoMove"
15.6494415148489,TRUE,"random","NoMove"
22.5054867181313,TRUE,"transect","NoMove"
10.434405073512,FALSE,"structured","TempMove"
9.90338349772004,FALSE,"random","TempMove"
13.8201640152937,TRUE,"transect","TempMove"
12.4078558782281,TRUE,"structured","PermMove"
13.1920022428563,TRUE,"random","PermMove"
16.1711043088914,TRUE,"transect","PermMove"
16.580842061007,TRUE,"structured","NoMove"
23.3237092543986,TRUE,"random","NoMove"
15.6274017087393,TRUE,"transect","NoMove"
11.9298920199446,TRUE,"structured","TempMove"
16.5880404224822,TRUE,"random","TempMove"
11.2896125133932,TRUE,"transect","TempMove"
9.32955787561074,FALSE,"structured","PermMove"
15.6710857758346,TRUE,"random","PermMove"
10.9979097270403,TRUE,"transect","PermMove"
18.8083320105903,TRUE,"structured","NoMove"
10.4001598353228,TRUE,"random","NoMove"
17.466600671809,TRUE,"transect","NoMove"
15.0470014970464,TRUE,"structured","TempMove"
7.94811695364942,FALSE,"random","TempMove"
14.377665130058,TRUE,"transect","TempMove"
17.4595149558022,TRUE,"structured","PermMove"
6.89551601969793,FALSE,"random","PermMove"
16.5265515960949,TRUE,"transect","PermMove"
11.4256998508841,TRUE,"structured","NoMove"
23.1414578253009,TRUE,"random","NoMove"
19.0102769407321,TRUE,"transect","NoMove"
9.98440861592051,FALSE,"structured","TempMove"
17.6872351536205,TRUE,"random","TempMove"
14.1989784032527,TRUE,"transect","TempMove"
9.36707182624899,TRUE,"structured","PermMove"
13.7131446605857,TRUE,"random","PermMove"
13.4353331064467,TRUE,"transect","PermMove"
16.4332317922944,TRUE,"structured","NoMove"
13.5456420968084,TRUE,"random","NoMove"
7.85174873343992,FALSE,"transect","NoMove"
15.2553642440657,TRUE,"structured","TempMove"
9.08958786309432,FALSE,"random","TempMove"
6.66177089469628,FALSE,"transect","TempMove"
11.9941065000358,TRUE,"structured","PermMove"
8.65602498933067,FALSE,"random","PermMove"
6.46200424616995,FALSE,"transect","PermMove"
22.2363014387057,TRUE,"structured","NoMove"
20.9883966164378,TRUE,"random","NoMove"
17.8221753878915,TRUE,"transect","NoMove"
14.6208371076108,TRUE,"structured","TempMove"
11.4567886264003,TRUE,"random","TempMove"
8.94045414291334,FALSE,"transect","TempMove"
17.7060557890364,TRUE,"structured","PermMove"
14.2072367116302,TRUE,"random","PermMove"
10.6480180294547,FALSE,"transect","PermMove"
12.7163994971562,TRUE,"structured","NoMove"
23.7672887573615,TRUE,"random","NoMove"
28.359200431866,TRUE,"transect","NoMove"
7.79344993781772,FALSE,"structured","TempMove"
14.4427858857915,TRUE,"random","TempMove"
23.4952050940646,TRUE,"transect","TempMove"
5.83871415915728,FALSE,"structured","PermMove"
13.5224175631671,TRUE,"random","PermMove"
18.9381996390386,TRUE,"transect","PermMove"
18.4453116028558,TRUE,"structured","NoMove"
14.9410017316371,TRUE,"random","NoMove"
7.92393465768383,FALSE,"transect","NoMove"
6.79187672568277,FALSE,"structured","TempMove"
14.6183579546696,TRUE,"random","TempMove"
5.97634085589313,FALSE,"transect","TempMove"
11.1425662461052,TRUE,"structured","PermMove"
8.81743986485801,FALSE,"random","PermMove"
5.04222587342105,FALSE,"transect","PermMove"
24.4758638717624,TRUE,"structured","NoMove"
15.0855875100775,TRUE,"random","NoMove"
18.8458414305478,TRUE,"transect","NoMove"
12.5702735090809,TRUE,"structured","TempMove"
10.0238805514835,FALSE,"random","TempMove"
12.9602694399441,TRUE,"transect","TempMove"
21.5970886189134,TRUE,"structured","PermMove"
13.0297817791336,TRUE,"random","PermMove"
17.6527516160502,TRUE,"transect","PermMove"
17.8525744235085,TRUE,"structured","NoMove"
15.0104969057849,TRUE,"random","NoMove"
17.2629137428009,TRUE,"transect","NoMove"
5.94545106272275,FALSE,"structured","TempMove"
10.2939758684792,FALSE,"random","TempMove"
10.5651774436531,TRUE,"transect","TempMove"
14.2695627203897,TRUE,"structured","PermMove"
14.5915906458892,TRUE,"random","PermMove"
15.0505512094207,TRUE,"transect","PermMove"
15.4073024514178,TRUE,"structured","NoMove"
20.8852794869273,TRUE,"random","NoMove"
14.0960602994297,TRUE,"transect","NoMove"
4.01913142716014,FALSE,"structured","TempMove"
10.7029149961294,FALSE,"random","TempMove"
11.115145189873,FALSE,"transect","TempMove"
8.93933443096506,FALSE,"structured","PermMove"
13.7242435014236,TRUE,"random","PermMove"
10.0455150991707,FALSE,"transect","PermMove"
25.2929600652068,TRUE,"structured","NoMove"
25.8106114897686,TRUE,"random","NoMove"
22.1146261081493,TRUE,"transect","NoMove"
13.5474602244576,TRUE,"structured","TempMove"
18.269009430096,TRUE,"random","TempMove"
14.3440002500457,TRUE,"transect","TempMove"
14.4941691202021,TRUE,"structured","PermMove"
20.1674784355918,TRUE,"random","PermMove"
17.1762584224604,TRUE,"transect","PermMove"
8.01149149375396,FALSE,"structured","NoMove"
17.3570366803356,TRUE,"random","NoMove"
25.9018394144721,TRUE,"transect","NoMove"
4.59164182070236,FALSE,"structured","TempMove"
12.6742778374911,TRUE,"random","TempMove"
9.77893649582153,TRUE,"transect","TempMove"
7.26621384754811,FALSE,"structured","PermMove"
9.50358863949253,FALSE,"random","PermMove"
16.9049628682542,TRUE,"transect","PermMove"
23.5857225913158,TRUE,"structured","NoMove"
22.5655758345532,TRUE,"random","NoMove"
14.7484799363744,TRUE,"transect","NoMove"
16.4246121183544,TRUE,"structured","TempMove"
12.3547844817151,TRUE,"random","TempMove"
10.0303980216913,FALSE,"transect","TempMove"
18.4281401428509,TRUE,"structured","PermMove"
14.2156329659322,TRUE,"random","PermMove"
8.86539136714486,FALSE,"transect","PermMove"
21.4309127082856,TRUE,"structured","NoMove"
18.089550051087,TRUE,"random","NoMove"
22.6603769701189,TRUE,"transect","NoMove"
14.5470331299139,TRUE,"structured","TempMove"
8.2686026542241,FALSE,"random","TempMove"
17.7902479714704,TRUE,"transect","TempMove"
14.3850270146631,TRUE,"structured","PermMove"
14.7019400890257,TRUE,"random","PermMove"
12.6924729868872,TRUE,"transect","PermMove"
13.194993603464,TRUE,"structured","NoMove"
21.1126597703415,TRUE,"random","NoMove"
17.7824696367802,TRUE,"transect","NoMove"
11.7114635675495,FALSE,"structured","TempMove"
12.6625908580132,TRUE,"random","TempMove"
14.1420207948673,TRUE,"transect","TempMove"
11.5237426315659,TRUE,"structured","PermMove"
9.60331584483029,TRUE,"random","PermMove"
14.9058317513274,TRUE,"transect","PermMove"
22.4367814358783,TRUE,"structured","NoMove"
21.6614474434751,TRUE,"random","NoMove"
13.8823772050106,TRUE,"transect","NoMove"
16.5584409663474,TRUE,"structured","TempMove"
11.1792656696972,TRUE,"random","TempMove"
8.50575216876496,FALSE,"transect","TempMove"
13.8418958593007,TRUE,"structured","PermMove"
15.4703974575496,TRUE,"random","PermMove"
10.2675688759979,FALSE,"transect","PermMove"
17.8016463566093,TRUE,"structured","NoMove"
13.8927491394918,TRUE,"random","NoMove"
18.3299678335806,TRUE,"transect","NoMove"
15.3138382070328,TRUE,"structured","TempMove"
9.95885863308719,FALSE,"random","TempMove"
13.3701928769659,TRUE,"transect","TempMove"
13.5176196520592,TRUE,"structured","PermMove"
9.32025815094471,FALSE,"random","PermMove"
13.3663178501071,TRUE,"transect","PermMove"
